ULCS_NO,SCHOOL_YEAR,INCIDENT_TYPE,INCIDENT_COUNT,SCHOOL_ID
"1280","2013-2014","SUICIDE",0,"128"
"1340","2013-2014","WEAPONS",2,"134"
"1380","2013-2014","HARASSMENT",0,"138"
"1410","2013-2014","FIRE - INCENDIARY",0,"141"
"2010","2013-2014","MORALS OFFENSES",2,"201"
"2140","2013-2014","HARASSMENT",0,"214"
"2140","2013-2014","THEFT",1,"214"
"6320","2013-2014","BULLYING",1,"632"
"6320","2013-2014","VANDALISM",0,"632"
"6390","2013-2014","BULLYING",0,"639"
"6410","2013-2014","DISORDERLY CONDUCT",17,"641"
"6540","2013-2014","BURGLARY",0,"654"
"7100","2013-2014","BURGLARY",0,"710"
"7130","2013-2014","ASSAULTS",12,"713"
"7220","2013-2014","BURGLARY",1,"722"
"7310","2013-2014","FIRE - INCENDIARY",0,"731"
"7360","2013-2014","THEFT",1,"736"
"7430","2013-2014","BULLYING",0,"743"
"7460","2013-2014","VANDALISM",0,"746"
"8030","2013-2014","BULLYING",0,"803"
"8040","2013-2014","HARASSMENT",0,"804"
"8160","2013-2014","HARASSMENT",0,"816"
"8200","2013-2014","MORALS OFFENSES",0,"820"
"6450","2013-2014","TAKE OFF",0,"645"
"2240","2013-2014","TAKE OFF",0,"224"
"2260","2013-2014","BULLYING",1,"226"
"2290","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"229"
"2320","2013-2014","BULLYING",1,"232"
"2320","2013-2014","MORALS OFFENSES",0,"232"
"2340","2013-2014","THEFT",1,"234"
"2370","2013-2014","TRESPASSING",2,"237"
"2480","2013-2014","THREATS",4,"248"
"2490","2013-2014","WEAPONS",0,"249"
"2670","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"267"
"6480","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"648"
"6540","2013-2014","THREATS",0,"654"
"7120","2013-2014","VANDALISM",9,"712"
"7290","2013-2014","BURGLARY",0,"729"
"7310","2013-2014","ROBBERY",0,"731"
"7330","2013-2014","ROBBERY",0,"733"
"7500","2013-2014","BOMB SCARE",0,"750"
"7530","2013-2014","TRESPASSING",0,"753"
"8160","2013-2014","ASSAULTS",4,"816"
"8200","2013-2014","ASSAULTS",5,"820"
"8230","2013-2014","ROBBERY",0,"823"
"8250","2013-2014","THEFT",0,"825"
"8260","2013-2014","ASSAULTS",0,"826"
"8260","2013-2014","DISORDERLY CONDUCT",3,"826"
"2690","2013-2014","THEFT",1,"269"
"8310","2013-2014","VANDALISM",3,"831"
"8320","2013-2014","ROBBERY",0,"832"
"8340","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"834"
"8360","2013-2014","BOMB SCARE",0,"836"
"8370","2013-2014","ASSAULTS",0,"837"
"8370","2013-2014","BURGLARY",0,"837"
"8390","2013-2014","DISORDERLY CONDUCT",19,"839"
"8420","2013-2014","WEAPONS",2,"842"
"8430","2013-2014","TAKE OFF",0,"843"
"8440","2013-2014","BOMB SCARE",0,"844"
"4220","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"422"
"4380","2013-2014","TAKE OFF",0,"438"
"4480","2013-2014","BOMB SCARE",0,"448"
"4530","2013-2014","HARASSMENT",0,"453"
"2160","2013-2014","BOMB SCARE",0,"216"
"2480","2013-2014","ASSAULTS",1,"248"
"2640","2013-2014","HARASSMENT",0,"264"
"2640","2013-2014","MORALS OFFENSES",0,"264"
"2650","2013-2014","THREATS",0,"265"
"8360","2013-2014","TRESPASSING",1,"836"
"8370","2013-2014","BOMB SCARE",0,"837"
"8560","2013-2014","FIRE - INCENDIARY",0,"856"
"1010","2013-2014","ASSAULTS",13,"101"
"1020","2013-2014","DRUGS & ALCOHOL OFFENSE",7,"102"
"1080","2013-2014","SUICIDE",0,"108"
"1100","2013-2014","THREATS",1,"110"
"1100","2013-2014","TRESPASSING",4,"110"
"1190","2013-2014","FIRE - INCENDIARY",0,"119"
"1340","2013-2014","HARASSMENT",1,"134"
"1350","2013-2014","TAKE OFF",0,"135"
"1420","2013-2014","VANDALISM",2,"142"
"4030","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"403"
"4140","2013-2014","TAKE OFF",0,"414"
"4270","2013-2014","TRESPASSING",0,"427"
"4370","2013-2014","MORALS OFFENSES",0,"437"
"4380","2013-2014","DISORDERLY CONDUCT",8,"438"
"4460","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"446"
"4470","2013-2014","BOMB SCARE",0,"447"
"4560","2013-2014","ASSAULTS",5,"456"
"4570","2013-2014","VANDALISM",2,"457"
"5080","2013-2014","VANDALISM",0,"508"
"4140","2013-2014","THEFT",3,"414"
"4220","2013-2014","FIRE - INCENDIARY",0,"422"
"4350","2013-2014","BULLYING",0,"435"
"4350","2013-2014","DRUGS & ALCOHOL OFFENSE",5,"435"
"4480","2013-2014","THREATS",0,"448"
"4530","2013-2014","ASSAULTS",1,"453"
"5080","2013-2014","THREATS",1,"508"
"5250","2013-2014","ASSAULTS",4,"525"
"5330","2013-2014","MORALS OFFENSES",2,"533"
"5440","2013-2014","BURGLARY",0,"544"
"5090","2013-2014","TAKE OFF",0,"509"
"5170","2013-2014","SUICIDE",0,"517"
"5340","2013-2014","TAKE OFF",0,"534"
"5370","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"537"
"5390","2013-2014","FIRE - INCENDIARY",0,"539"
"5400","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"540"
"5420","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"542"
"5420","2013-2014","WEAPONS",5,"542"
"5440","2013-2014","ROBBERY",0,"544"
"5450","2013-2014","SUICIDE",0,"545"
"5470","2013-2014","BULLYING",0,"547"
"5480","2013-2014","DISORDERLY CONDUCT",2,"548"
"5550","2013-2014","BURGLARY",0,"555"
"5550","2013-2014","THREATS",2,"555"
"5590","2013-2014","BURGLARY",0,"559"
"6090","2013-2014","BOMB SCARE",0,"609"
"6200","2013-2014","HARASSMENT",0,"620"
"6200","2013-2014","THREATS",1,"620"
"6210","2013-2014","MORALS OFFENSES",1,"621"
"4220","2013-2014","MORALS OFFENSES",0,"422"
"4240","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"424"
"4280","2013-2014","ASSAULTS",1,"428"
"4300","2013-2014","TAKE OFF",0,"430"
"4460","2013-2014","SUICIDE",0,"446"
"1050","2013-2014","ROBBERY",1,"105"
"1050","2013-2014","THEFT",1,"105"
"1050","2013-2014","VANDALISM",0,"105"
"1300","2013-2014","TRESPASSING",1,"130"
"1360","2013-2014","FIRE - INCENDIARY",0,"136"
"1370","2013-2014","TRESPASSING",0,"137"
"1390","2013-2014","BURGLARY",0,"139"
"1390","2013-2014","SUICIDE",0,"139"
"1400","2013-2014","HARASSMENT",0,"140"
"4060","2013-2014","HARASSMENT",0,"406"
"4100","2013-2014","BOMB SCARE",0,"410"
"4350","2013-2014","HARASSMENT",1,"435"
"4380","2013-2014","BULLYING",0,"438"
"4380","2013-2014","SUICIDE",0,"438"
"5070","2013-2014","HARASSMENT",2,"507"
"5160","2013-2014","ROBBERY",4,"516"
"5160","2013-2014","WEAPONS",9,"516"
"5260","2013-2014","BOMB SCARE",0,"526"
"1490","2013-2014","BOMB SCARE",0,"149"
"2090","2013-2014","TAKE OFF",0,"209"
"2210","2013-2014","HARASSMENT",1,"221"
"2380","2013-2014","ASSAULTS",0,"238"
"2390","2013-2014","ASSAULTS",12,"239"
"2410","2013-2014","TAKE OFF",0,"241"
"2450","2013-2014","HARASSMENT",0,"245"
"2470","2013-2014","BURGLARY",0,"247"
"2540","2013-2014","HARASSMENT",0,"254"
"2540","2013-2014","ROBBERY",0,"254"
"2590","2013-2014","BURGLARY",0,"259"
"6250","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"625"
"6350","2013-2014","TRESPASSING",0,"635"
"6360","2013-2014","BOMB SCARE",0,"636"
"6360","2013-2014","THREATS",4,"636"
"6380","2013-2014","TRESPASSING",0,"638"
"6440","2013-2014","BOMB SCARE",0,"644"
"6450","2013-2014","SUICIDE",0,"645"
"7100","2013-2014","DISORDERLY CONDUCT",22,"710"
"5080","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"508"
"5250","2013-2014","THEFT",0,"525"
"5260","2013-2014","SUICIDE",0,"526"
"5350","2013-2014","ASSAULTS",6,"535"
"5400","2013-2014","THEFT",0,"540"
"5420","2013-2014","THREATS",8,"542"
"5490","2013-2014","BULLYING",0,"549"
"6030","2013-2014","VANDALISM",7,"603"
"6040","2013-2014","FIRE - INCENDIARY",0,"604"
"6090","2013-2014","BURGLARY",0,"609"
"6220","2013-2014","BURGLARY",1,"622"
"6230","2013-2014","BULLYING",0,"623"
"1080","2013-2014","MORALS OFFENSES",0,"108"
"1340","2013-2014","FIRE - INCENDIARY",0,"134"
"1380","2013-2014","TAKE OFF",0,"138"
"1420","2013-2014","TAKE OFF",0,"142"
"1470","2013-2014","VANDALISM",1,"147"
"1490","2013-2014","HARASSMENT",0,"149"
"2000","2013-2014","FIRE - INCENDIARY",0,"200"
"2090","2013-2014","THEFT",0,"209"
"2190","2013-2014","THREATS",0,"219"
"6320","2013-2014","DISORDERLY CONDUCT",3,"632"
"6350","2013-2014","TAKE OFF",0,"635"
"6380","2013-2014","BULLYING",0,"638"
"6430","2013-2014","ASSAULTS",0,"643"
"7100","2013-2014","BOMB SCARE",0,"710"
"7100","2013-2014","BULLYING",0,"710"
"7200","2013-2014","ASSAULTS",1,"720"
"7270","2013-2014","SUICIDE",0,"727"
"7320","2013-2014","THEFT",0,"732"
"7370","2013-2014","BOMB SCARE",0,"737"
"7380","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"738"
"1050","2013-2014","SUICIDE",0,"105"
"1130","2013-2014","ASSAULTS",24,"113"
"1200","2013-2014","ASSAULTS",17,"120"
"1260","2013-2014","ASSAULTS",7,"126"
"1290","2013-2014","TAKE OFF",0,"129"
"1350","2013-2014","ASSAULTS",7,"135"
"1350","2013-2014","SUICIDE",0,"135"
"4060","2013-2014","BULLYING",2,"406"
"4060","2013-2014","FIRE - INCENDIARY",0,"406"
"4100","2013-2014","FIRE - INCENDIARY",3,"410"
"4240","2013-2014","VANDALISM",3,"424"
"4270","2013-2014","ROBBERY",0,"427"
"4320","2013-2014","HARASSMENT",1,"432"
"4370","2013-2014","BOMB SCARE",0,"437"
"4440","2013-2014","MORALS OFFENSES",1,"444"
"4460","2013-2014","THEFT",7,"446"
"5060","2013-2014","WEAPONS",3,"506"
"5160","2013-2014","BURGLARY",0,"516"
"5230","2013-2014","ASSAULTS",5,"523"
"5260","2013-2014","TRESPASSING",0,"526"
"5400","2013-2014","THREATS",2,"540"
"5440","2013-2014","FIRE - INCENDIARY",0,"544"
"5480","2013-2014","BOMB SCARE",0,"548"
"4030","2013-2014","ASSAULTS",1,"403"
"4060","2013-2014","ROBBERY",0,"406"
"1020","2013-2014","MORALS OFFENSES",2,"102"
"1100","2013-2014","MORALS OFFENSES",0,"110"
"1130","2013-2014","TAKE OFF",0,"113"
"1190","2013-2014","BULLYING",0,"119"
"1260","2013-2014","BURGLARY",2,"126"
"1300","2013-2014","VANDALISM",1,"130"
"1390","2013-2014","HARASSMENT",0,"139"
"4270","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"427"
"4270","2013-2014","TAKE OFF",0,"427"
"4300","2013-2014","HARASSMENT",0,"430"
"4320","2013-2014","THREATS",3,"432"
"5060","2013-2014","TAKE OFF",0,"506"
"5170","2013-2014","BOMB SCARE",0,"517"
"5200","2013-2014","DISORDERLY CONDUCT",2,"520"
"5300","2013-2014","BULLYING",0,"530"
"5330","2013-2014","WEAPONS",1,"533"
"6270","2013-2014","BURGLARY",0,"627"
"2470","2013-2014","VANDALISM",0,"247"
"2520","2013-2014","MORALS OFFENSES",0,"252"
"2580","2013-2014","DISORDERLY CONDUCT",3,"258"
"2590","2013-2014","BULLYING",0,"259"
"2020","2013-2014","TRESPASSING",0,"202"
"6350","2013-2014","BURGLARY",0,"635"
"6380","2013-2014","VANDALISM",0,"638"
"6430","2013-2014","HARASSMENT",0,"643"
"6430","2013-2014","WEAPONS",1,"643"
"6470","2013-2014","SUICIDE",0,"647"
"6480","2013-2014","MORALS OFFENSES",1,"648"
"6540","2013-2014","ASSAULTS",3,"654"
"7260","2013-2014","WEAPONS",4,"726"
"7370","2013-2014","BULLYING",0,"737"
"7440","2013-2014","ROBBERY",0,"744"
"7500","2013-2014","BURGLARY",1,"750"
"7510","2013-2014","SUICIDE",0,"751"
"7730","2013-2014","WEAPONS",2,"773"
"2020","2013-2014","THEFT",5,"202"
"2140","2013-2014","WEAPONS",1,"214"
"2160","2013-2014","THREATS",3,"216"
"2260","2013-2014","HARASSMENT",0,"226"
"2470","2013-2014","BULLYING",0,"247"
"2690","2013-2014","VANDALISM",0,"269"
"8040","2013-2014","ROBBERY",0,"804"
"8160","2013-2014","BULLYING",0,"816"
"8180","2013-2014","BULLYING",1,"818"
"8210","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"821"
"8240","2013-2014","ROBBERY",0,"824"
"8270","2013-2014","DISORDERLY CONDUCT",8,"827"
"8270","2013-2014","HARASSMENT",0,"827"
"8300","2013-2014","WEAPONS",0,"830"
"8380","2013-2014","WEAPONS",0,"838"
"8400","2013-2014","DISORDERLY CONDUCT",3,"840"
"8440","2013-2014","DISORDERLY CONDUCT",23,"844"
"8560","2013-2014","THEFT",0,"856"
"5500","2013-2014","THEFT",0,"550"
"5590","2013-2014","SUICIDE",1,"559"
"6020","2013-2014","BOMB SCARE",0,"602"
"6020","2013-2014","DISORDERLY CONDUCT",0,"602"
"6030","2013-2014","THEFT",7,"603"
"6050","2013-2014","TRESPASSING",0,"605"
"6220","2013-2014","FIRE - INCENDIARY",0,"622"
"6340","2013-2014","HARASSMENT",0,"634"
"6480","2013-2014","BURGLARY",0,"648"
"6540","2013-2014","MORALS OFFENSES",0,"654"
"7130","2013-2014","ROBBERY",2,"713"
"7200","2013-2014","MORALS OFFENSES",0,"720"
"7220","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"722"
"7260","2013-2014","BULLYING",0,"726"
"2140","2013-2014","ASSAULTS",0,"214"
"2160","2013-2014","FIRE - INCENDIARY",0,"216"
"2210","2013-2014","BURGLARY",0,"221"
"2210","2013-2014","THREATS",2,"221"
"2290","2013-2014","TAKE OFF",0,"229"
"2320","2013-2014","VANDALISM",0,"232"
"2410","2013-2014","DISORDERLY CONDUCT",2,"241"
"2540","2013-2014","ASSAULTS",1,"254"
"2630","2013-2014","DISORDERLY CONDUCT",0,"263"
"5510","2013-2014","WEAPONS",4,"551"
"5530","2013-2014","DISORDERLY CONDUCT",7,"553"
"5530","2013-2014","VANDALISM",4,"553"
"5550","2013-2014","TRESPASSING",0,"555"
"5560","2013-2014","VANDALISM",0,"556"
"5590","2013-2014","VANDALISM",0,"559"
"6010","2013-2014","ROBBERY",3,"601"
"6200","2013-2014","BULLYING",0,"620"
"6200","2013-2014","SUICIDE",0,"620"
"6430","2013-2014","BOMB SCARE",0,"643"
"6460","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"646"
"6480","2013-2014","TRESPASSING",0,"648"
"4030","2013-2014","BULLYING",0,"403"
"4280","2013-2014","ROBBERY",0,"428"
"4300","2013-2014","MORALS OFFENSES",2,"430"
"5440","2013-2014","MORALS OFFENSES",0,"544"
"8120","2013-2014","TRESPASSING",0,"812"
"8230","2013-2014","VANDALISM",0,"823"
"8260","2013-2014","THEFT",1,"826"
"8270","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"827"
"8310","2013-2014","BURGLARY",0,"831"
"8360","2013-2014","WEAPONS",1,"836"
"8410","2013-2014","VANDALISM",5,"841"
"8420","2013-2014","DISORDERLY CONDUCT",5,"842"
"2010","2013-2014","TRESPASSING",2,"201"
"2020","2013-2014","ROBBERY",0,"202"
"2130","2013-2014","THREATS",0,"213"
"2190","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"219"
"2340","2013-2014","HARASSMENT",0,"234"
"2410","2013-2014","ASSAULTS",0,"241"
"2480","2013-2014","SUICIDE",1,"248"
"2540","2013-2014","BOMB SCARE",0,"254"
"2620","2013-2014","SUICIDE",0,"262"
"2620","2013-2014","VANDALISM",1,"262"
"1490","2013-2014","BURGLARY",0,"149"
"7320","2013-2014","SUICIDE",1,"732"
"7400","2013-2014","SUICIDE",0,"740"
"7430","2013-2014","THEFT",0,"743"
"7470","2013-2014","SUICIDE",0,"747"
"7510","2013-2014","VANDALISM",1,"751"
"8020","2013-2014","VANDALISM",6,"802"
"8340","2013-2014","ROBBERY",0,"834"
"8380","2013-2014","TAKE OFF",0,"838"
"8420","2013-2014","THEFT",0,"842"
"5600","2013-2014","FIRE - INCENDIARY",1,"560"
"6010","2013-2014","VANDALISM",5,"601"
"6020","2013-2014","BULLYING",0,"602"
"6100","2013-2014","WEAPONS",5,"610"
"6230","2013-2014","TAKE OFF",0,"623"
"6260","2013-2014","VANDALISM",1,"626"
"7130","2013-2014","DISORDERLY CONDUCT",13,"713"
"7290","2013-2014","BULLYING",0,"729"
"7310","2013-2014","BURGLARY",0,"731"
"7310","2013-2014","WEAPONS",0,"731"
"7360","2013-2014","MORALS OFFENSES",5,"736"
"7490","2013-2014","THREATS",3,"749"
"8140","2013-2014","BOMB SCARE",0,"814"
"8140","2013-2014","BULLYING",0,"814"
"8160","2013-2014","VANDALISM",0,"816"
"8180","2013-2014","HARASSMENT",0,"818"
"8210","2013-2014","BOMB SCARE",0,"821"
"8270","2013-2014","BOMB SCARE",0,"827"
"8300","2013-2014","TRESPASSING",0,"830"
"8310","2013-2014","ASSAULTS",2,"831"
"8360","2013-2014","HARASSMENT",0,"836"
"4470","2013-2014","MORALS OFFENSES",11,"447"
"4480","2013-2014","TRESPASSING",1,"448"
"4530","2013-2014","TAKE OFF",0,"453"
"4560","2013-2014","VANDALISM",0,"456"
"5060","2013-2014","HARASSMENT",0,"506"
"5210","2013-2014","WEAPONS",0,"521"
"5320","2013-2014","TAKE OFF",0,"532"
"5320","2013-2014","THREATS",6,"532"
"5330","2013-2014","THEFT",0,"533"
"5350","2013-2014","THEFT",1,"535"
"5420","2013-2014","ROBBERY",0,"542"
"5440","2013-2014","ASSAULTS",3,"544"
"5470","2013-2014","FIRE - INCENDIARY",0,"547"
"5490","2013-2014","TAKE OFF",0,"549"
"5500","2013-2014","TAKE OFF",0,"550"
"5530","2013-2014","ROBBERY",0,"553"
"1010","2013-2014","BURGLARY",0,"101"
"1190","2013-2014","VANDALISM",0,"119"
"1200","2013-2014","BULLYING",0,"120"
"1370","2013-2014","THEFT",1,"137"
"1420","2013-2014","ASSAULTS",3,"142"
"1460","2013-2014","VANDALISM",0,"146"
"1470","2013-2014","SUICIDE",1,"147"
"1490","2013-2014","THREATS",2,"149"
"2000","2013-2014","MORALS OFFENSES",3,"200"
"5340","2013-2014","BURGLARY",0,"534"
"5370","2013-2014","MORALS OFFENSES",0,"537"
"5390","2013-2014","BULLYING",0,"539"
"5430","2013-2014","SUICIDE",0,"543"
"5470","2013-2014","DISORDERLY CONDUCT",21,"547"
"5590","2013-2014","TRESPASSING",0,"559"
"6050","2013-2014","THREATS",0,"605"
"6220","2013-2014","BULLYING",0,"622"
"6230","2013-2014","THREATS",0,"623"
"6260","2013-2014","BURGLARY",0,"626"
"6260","2013-2014","MORALS OFFENSES",2,"626"
"6270","2013-2014","HARASSMENT",0,"627"
"6300","2013-2014","HARASSMENT",0,"630"
"1280","2013-2014","BOMB SCARE",0,"128"
"1360","2013-2014","VANDALISM",1,"136"
"1370","2013-2014","SUICIDE",0,"137"
"1390","2013-2014","THREATS",0,"139"
"1470","2013-2014","THEFT",2,"147"
"2010","2013-2014","DISORDERLY CONDUCT",26,"201"
"2020","2013-2014","BURGLARY",0,"202"
"5330","2013-2014","DRUGS & ALCOHOL OFFENSE",1,"533"
"5520","2013-2014","TAKE OFF",0,"552"
"5530","2013-2014","HARASSMENT",0,"553"
"6040","2013-2014","TRESPASSING",0,"604"
"6060","2013-2014","DISORDERLY CONDUCT",44,"606"
"6060","2013-2014","FIRE - INCENDIARY",0,"606"
"6060","2013-2014","WEAPONS",10,"606"
"6250","2013-2014","DISORDERLY CONDUCT",20,"625"
"1580","2013-2014","THEFT",0,"158"
"2000","2013-2014","VANDALISM",6,"200"
"2010","2013-2014","ASSAULTS",30,"201"
"2020","2013-2014","BULLYING",0,"202"
"2090","2013-2014","WEAPONS",0,"209"
"2130","2013-2014","BURGLARY",0,"213"
"2160","2013-2014","VANDALISM",6,"216"
"2260","2013-2014","ROBBERY",0,"226"
"2260","2013-2014","SUICIDE",0,"226"
"2260","2013-2014","THEFT",4,"226"
"2290","2013-2014","ASSAULTS",5,"229"
"2340","2013-2014","ROBBERY",0,"234"
"2380","2013-2014","DISORDERLY CONDUCT",1,"238"
"2480","2013-2014","FIRE - INCENDIARY",0,"248"
"2510","2013-2014","TRESPASSING",0,"251"
"2540","2013-2014","WEAPONS",0,"254"
"2580","2013-2014","VANDALISM",0,"258"
"7290","2013-2014","HARASSMENT",1,"729"
"7300","2013-2014","THREATS",0,"730"
"7350","2013-2014","BURGLARY",0,"735"
"7350","2013-2014","FIRE - INCENDIARY",0,"735"
"7360","2013-2014","ROBBERY",0,"736"
"7380","2013-2014","THREATS",3,"738"
"7460","2013-2014","HARASSMENT",0,"746"
"7530","2013-2014","WEAPONS",3,"753"
"7730","2013-2014","SUICIDE",1,"773"
"8230","2013-2014","MORALS OFFENSES",0,"823"
"8240","2013-2014","DISORDERLY CONDUCT",13,"824"
"8240","2013-2014","THREATS",1,"824"
"8250","2013-2014","BOMB SCARE",0,"825"
"8310","2013-2014","THREATS",0,"831"
"8410","2013-2014","BOMB SCARE",0,"841"
"7400","2013-2014","WEAPONS",2,"740"
"7430","2013-2014","TRESPASSING",0,"743"
"7490","2013-2014","MORALS OFFENSES",0,"749"
"7730","2013-2014","ASSAULTS",19,"773"
"8020","2013-2014","THEFT",9,"802"
"8260","2013-2014","TRESPASSING",0,"826"
"8310","2013-2014","FIRE - INCENDIARY",0,"831"
"8340","2013-2014","SUICIDE",0,"834"
"7270","2013-2014","TAKE OFF",0,"727"
"1010","2013-2014","FIRE - INCENDIARY",5,"101"
"1050","2013-2014","TAKE OFF",0,"105"
"1350","2013-2014","BOMB SCARE",0,"135"
"1380","2013-2014","BULLYING",1,"138"
"1390","2013-2014","VANDALISM",0,"139"
"1400","2013-2014","ROBBERY",0,"140"
"1400","2013-2014","TRESPASSING",0,"140"
"1410","2013-2014","HARASSMENT",0,"141"
"1410","2013-2014","THEFT",1,"141"
"2130","2013-2014","WEAPONS",0,"213"
"2140","2013-2014","DISORDERLY CONDUCT",4,"214"
"6340","2013-2014","VANDALISM",1,"634"
"6360","2013-2014","DRUGS & ALCOHOL OFFENSE",3,"636"
"6450","2013-2014","ROBBERY",0,"645"
"6460","2013-2014","BOMB SCARE",0,"646"
"7260","2013-2014","TAKE OFF",0,"726"
"7320","2013-2014","VANDALISM",0,"732"
"7380","2013-2014","BULLYING",0,"738"
"7490","2013-2014","BURGLARY",0,"749"
"6430","2013-2014","SUICIDE",0,"643"
"6440","2013-2014","TRESPASSING",0,"644"
"2190","2013-2014","TAKE OFF",0,"219"
"2240","2013-2014","ASSAULTS",6,"224"
"2380","2013-2014","BULLYING",0,"238"
"2410","2013-2014","THREATS",0,"241"
"2470","2013-2014","MORALS OFFENSES",0,"247"
"2490","2013-2014","ASSAULTS",1,"249"
"2580","2013-2014","THEFT",0,"258"
"2590","2013-2014","VANDALISM",7,"259"
"2620","2013-2014","FIRE - INCENDIARY",0,"262"
"2640","2013-2014","TRESPASSING",0,"264"
"2720","2013-2014","MORALS OFFENSES",0,"272"
"6470","2013-2014","BULLYING",0,"647"
"6470","2013-2014","TAKE OFF",0,"647"
"7150","2013-2014","THREATS",5,"715"
"7350","2013-2014","THREATS",2,"735"
"7370","2013-2014","BURGLARY",0,"737"
"7390","2013-2014","BOMB SCARE",0,"739"
"7510","2013-2014","TAKE OFF",0,"751"
"7530","2013-2014","THEFT",0,"753"
"7730","2013-2014","THREATS",3,"773"
"8020","2013-2014","WEAPONS",9,"802"
"8040","2013-2014","THEFT",2,"804"
"8090","2013-2014","VANDALISM",3,"809"
"8120","2013-2014","THEFT",2,"812"
"8120","2013-2014","WEAPONS",6,"812"
"8160","2013-2014","MORALS OFFENSES",0,"816"
"8230","2013-2014","HARASSMENT",0,"823"
"8230","2013-2014","WEAPONS",0,"823"
"8390","2013-2014","SUICIDE",0,"839"
"8560","2013-2014","TRESPASSING",0,"856"
"4030","2013-2014","TAKE OFF",0,"403"
"4100","2013-2014","ROBBERY",4,"410"
"4100","2013-2014","VANDALISM",3,"410"
"4270","2013-2014","ASSAULTS",2,"427"
"4270","2013-2014","BOMB SCARE",0,"427"
"4300","2013-2014","ASSAULTS",6,"430"
"4320","2013-2014","SUICIDE",0,"432"
"4560","2013-2014","WEAPONS",0,"456"
"5050","2013-2014","FIRE - INCENDIARY",0,"505"
"2210","2013-2014","THEFT",1,"221"
"2260","2013-2014","TAKE OFF",0,"226"
"2380","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"238"
"2450","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"245"
"2470","2013-2014","DISORDERLY CONDUCT",0,"247"
"2480","2013-2014","BULLYING",0,"248"
"2520","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"252"
"2520","2013-2014","THEFT",0,"252"
"2540","2013-2014","BURGLARY",0,"254"
"2580","2013-2014","BOMB SCARE",0,"258"
"2620","2013-2014","ROBBERY",0,"262"
"2630","2013-2014","ASSAULTS",3,"263"
"2630","2013-2014","TRESPASSING",0,"263"
"2720","2013-2014","TRESPASSING",0,"272"
"8360","2013-2014","BURGLARY",0,"836"
"8400","2013-2014","HARASSMENT",0,"840"
"1020","2013-2014","BULLYING",2,"102"
"1020","2013-2014","THEFT",9,"102"
"1230","2013-2014","THREATS",4,"123"
"1280","2013-2014","THEFT",0,"128"
"1330","2013-2014","SUICIDE",0,"133"
"1340","2013-2014","BULLYING",0,"134"
"1400","2013-2014","BOMB SCARE",0,"140"
"1420","2013-2014","HARASSMENT",0,"142"
"4060","2013-2014","DISORDERLY CONDUCT",10,"406"
"4030","2013-2014","ROBBERY",1,"403"
"4240","2013-2014","THREATS",1,"424"
"4240","2013-2014","WEAPONS",2,"424"
"4270","2013-2014","SUICIDE",0,"427"
"4280","2013-2014","BOMB SCARE",0,"428"
"4350","2013-2014","MORALS OFFENSES",5,"435"
"4370","2013-2014","DISORDERLY CONDUCT",2,"437"
"4380","2013-2014","HARASSMENT",0,"438"
"4380","2013-2014","ROBBERY",0,"438"
"4570","2013-2014","BULLYING",0,"457"
"4100","2013-2014","DRUGS & ALCOHOL OFFENSE",2,"410"
"4280","2013-2014","VANDALISM",4,"428"
"4350","2013-2014","ROBBERY",3,"435"
"4350","2013-2014","THREATS",6,"435"
"4370","2013-2014","HARASSMENT",0,"437"
"4380","2013-2014","TRESPASSING",0,"438"
"4480","2013-2014","DRUGS & ALCOHOL OFFENSE",0,"448"
"4480","2013-2014","MORALS OFFENSES",3,"448"
"5050","2013-2014","SUICIDE",0,"505"
"5060","2013-2014","BURGLARY",0,"506"
"5080","2013-2014","HARASSMENT",0,"508"
"5090","2013-2014","VANDALISM",0,"509"
"5210","2013-2014","DISORDERLY CONDUCT",4,"521"
"5260","2013-2014","THEFT",2,"526"
"5320","2013-2014","ROBBERY",0,"532"
"5350","2013-2014","ROBBERY",0,"535"
"5430","2013-2014","ROBBERY",0,"543"
"5090","2013-2014","THEFT",1,"509"
"5200","2013-2014","FIRE - INCENDIARY",0,"520"
"5200","2013-2014","TAKE OFF",0,"520"
